city,propertyType,bedrooms,bathrooms,area,age,parking,furnished,price
Hyderabad,Villa,5,3,1323,6,2,Unfurnished,19136171
Vadodara,Villa,1,2,2747,1,0,Fully Furnished,18472607
Vadodara,Commercial,1,1,2829,15,3,Semi Furnished,20741836
Vadodara,Apartment,3,4,1434,2,3,Semi Furnished,7320280
Jaipur,Apartment,2,2,2989,2,1,Unfurnished,15432381
Bangalore,House,5,4,4190,14,2,Fully Furnished,50415660
Mumbai,Apartment,5,1,2202,20,1,Semi Furnished,27609131
Vadodara,House,2,1,1782,0,3,Semi Furnished,9982498
Mumbai,Apartment,2,3,2816,22,3,Unfurnished,34436762
Mumbai,House,4,1,4961,7,1,Semi Furnished,72762545
Surat,Apartment,2,3,2864,14,0,Semi Furnished,12897662
Bangalore,Villa,5,4,4086,2,0,Semi Furnished,64145178
Jaipur,Villa,1,1,2375,21,0,Fully Furnished,18947602
Jaipur,Apartment,2,4,4751,20,3,Semi Furnished,23945105
Jaipur,Commercial,4,1,4350,11,3,Semi Furnished,39295653
Surat,House,3,4,4558,9,3,Fully Furnished,24985799
Hyderabad,Apartment,3,3,3148,3,3,Fully Furnished,27839806
Delhi,Commercial,4,1,2036,16,2,Fully Furnished,38770707
Hyderabad,Apartment,2,3,4999,4,2,Semi Furnished,42600057
Surat,Apartment,5,2,1797,9,0,Fully Furnished,9800209
Surat,House,1,4,1462,20,1,Semi Furnished,8074519
Delhi,Villa,4,4,4368,7,3,Fully Furnished,72314668
Bangalore,House,5,2,1071,8,3,Semi Furnished,14541801
Mumbai,Apartment,3,3,4511,4,3,Fully Furnished,56639868
Pune,Villa,5,4,4230,10,1,Fully Furnished,59928405
Jaipur,Commercial,2,4,857,10,3,Fully Furnished,9504229
Bangalore,House,4,1,1534,16,2,Unfurnished,18649294
Surat,Commercial,1,2,3858,20,1,Unfurnished,29458776
Mumbai,Villa,5,4,1157,10,3,Semi Furnished,24676050
Delhi,Apartment,5,1,2423,20,2,Unfurnished,25174769
Bangalore,Apartment,1,4,1862,22,2,Unfurnished,17837225
Pune,Apartment,3,3,3570,13,1,Unfurnished,31476968
Bangalore,House,2,2,1146,19,3,Fully Furnished,14591928
Hyderabad,House,2,4,2580,14,2,Fully Furnished,26847053
Hyderabad,Villa,5,2,1105,14,2,Fully Furnished,16811285
Bangalore,Villa,4,3,2131,12,3,Unfurnished,33789928
Bangalore,Villa,5,3,2918,0,3,Semi Furnished,46462091
Jaipur,Apartment,5,4,2844,24,1,Fully Furnished,15820635
Rajkot,House,5,3,1620,20,0,Fully Furnished,8495337
Mumbai,Commercial,1,3,1576,2,2,Semi Furnished,35377286
Vadodara,House,2,3,4848,16,2,Unfurnished,23358092
Hyderabad,Villa,3,1,4336,2,1,Unfurnished,57955036
Delhi,Villa,1,4,614,8,0,Semi Furnished,10760490
Mumbai,Commercial,3,1,2415,15,0,Fully Furnished,53827678
Pune,House,1,4,2975,20,3,Unfurnished,30791566
Ahmedabad,Apartment,3,4,1451,3,1,Fully Furnished,8496754
Bangalore,Commercial,3,4,1765,13,0,Semi Furnished,31534440
Mumbai,Apartment,3,2,4132,14,1,Semi Furnished,50538180
Pune,Villa,1,4,2760,6,0,Semi Furnished,38232126
Rajkot,Apartment,1,3,2495,4,1,Unfurnished,9613628
Rajkot,House,2,3,1708,25,0,Semi Furnished,7600316
Vadodara,Villa,2,1,711,4,0,Semi Furnished,5286129
Jaipur,Villa,1,2,2673,1,1,Fully Furnished,22145049
Delhi,Apartment,1,4,4172,24,2,Fully Furnished,42784351
Hyderabad,House,5,1,4771,9,3,Fully Furnished,49154303
Ahmedabad,Commercial,4,4,1384,15,3,Unfurnished,12470114
Pune,House,1,2,2752,19,2,Semi Furnished,29001729
Mumbai,Commercial,5,4,1312,25,0,Fully Furnished,30542316
Rajkot,Commercial,4,2,3889,10,3,Semi Furnished,26436896
Surat,Villa,4,3,2588,11,1,Fully Furnished,19663665
Surat,Apartment,1,1,4037,3,2,Unfurnished,17813797
Ahmedabad,Villa,1,4,3396,21,3,Fully Furnished,25680145
Mumbai,Villa,3,1,4656,6,1,Fully Furnished,91350812
Rajkot,Apartment,3,3,1441,24,2,Fully Furnished,6630644
Bangalore,Apartment,5,3,737,5,2,Fully Furnished,9650493
Pune,Villa,1,2,1673,18,3,Unfurnished,23051566
Ahmedabad,Apartment,5,2,3581,13,3,Semi Furnished,17954555
Pune,Villa,3,1,930,4,1,Fully Furnished,14200179
Surat,Villa,4,4,4478,19,3,Semi Furnished,31853596
Rajkot,Apartment,3,4,1408,9,3,Fully Furnished,7226401
Ahmedabad,House,4,1,562,6,2,Unfurnished,4128701
Mumbai,Villa,3,1,563,15,3,Unfurnished,11570061
Bangalore,House,5,3,1090,12,0,Semi Furnished,13795651
Hyderabad,Apartment,3,4,3813,22,3,Semi Furnished,32537368
Bangalore,Apartment,3,2,4269,22,2,Unfurnished,41413425
Surat,House,4,4,4792,2,3,Semi Furnished,26407685
Rajkot,Villa,2,1,4681,20,0,Fully Furnished,27448323
Rajkot,Villa,3,2,2435,3,1,Semi Furnished,14967854
Vadodara,House,1,2,4547,14,3,Fully Furnished,23021872
Jaipur,Villa,3,2,4102,2,3,Semi Furnished,33270890
Mumbai,Apartment,3,1,3042,14,3,Unfurnished,37213653
Pune,Villa,1,1,4653,12,3,Fully Furnished,64962042
Ahmedabad,Commercial,5,2,3133,19,3,Fully Furnished,27560489
Ahmedabad,Commercial,1,3,1190,16,1,Unfurnished,9898778
Hyderabad,Commercial,5,2,3481,11,2,Semi Furnished,53383185
Pune,Apartment,3,1,3200,3,3,Semi Furnished,28789236
Jaipur,House,3,1,1658,11,2,Fully Furnished,11436077
Vadodara,Apartment,3,4,3190,4,0,Fully Furnished,14534973
Delhi,Villa,1,3,3030,5,1,Semi Furnished,49664892
Rajkot,House,2,2,1132,9,0,Fully Furnished,6395390
Delhi,Apartment,3,2,3586,4,1,Unfurnished,36733580
Hyderabad,Apartment,4,3,2445,14,2,Fully Furnished,22369735
Rajkot,House,3,4,2089,11,3,Semi Furnished,10494259
Bangalore,Commercial,2,2,1633,8,0,Fully Furnished,29528235
Pune,Apartment,5,1,2835,2,1,Semi Furnished,26118645
Delhi,House,4,1,2318,14,2,Unfurnished,29001050
Ahmedabad,Commercial,5,3,2431,12,0,Semi Furnished,21276545
Ahmedabad,Villa,1,3,1696,4,0,Semi Furnished,13256604
Vadodara,Commercial,4,1,1149,0,2,Unfurnished,9322762
Delhi,Commercial,1,3,2446,9,0,Unfurnished,44303021
Bangalore,Commercial,1,1,4594,19,0,Fully Furnished,79572810
Jaipur,House,2,3,4016,0,2,Unfurnished,24530544
Bangalore,House,1,3,1054,16,0,Semi Furnished,12758572
Ahmedabad,Commercial,3,3,633,11,0,Semi Furnished,6255138
Surat,Villa,2,1,3386,17,2,Fully Furnished,24012514
Hyderabad,Commercial,2,2,1016,22,3,Unfurnished,15603856
Rajkot,Apartment,2,1,3085,9,3,Fully Furnished,12718895
Mumbai,Apartment,2,3,3424,24,0,Fully Furnished,42236048
Mumbai,Apartment,3,4,3776,23,3,Semi Furnished,46792505
Vadodara,Commercial,4,3,4753,8,0,Fully Furnished,35511180
Surat,Commercial,5,2,4968,9,2,Unfurnished,38867038
Pune,Villa,3,4,3990,5,3,Semi Furnished,56307849
Ahmedabad,Villa,5,4,2749,20,0,Unfurnished,21068742
Pune,House,1,2,4089,1,1,Unfurnished,42230259
Pune,Villa,4,1,1756,21,3,Semi Furnished,25396684
Hyderabad,Apartment,5,2,4837,11,3,Semi Furnished,41680627
Rajkot,Apartment,1,2,4588,16,3,Fully Furnished,17281481
Mumbai,Villa,4,2,2839,22,3,Unfurnished,55437394
Vadodara,Apartment,4,2,4146,2,2,Fully Furnished,18583701
Surat,Villa,3,2,1926,25,2,Fully Furnished,14402854
Surat,House,2,2,4547,0,2,Fully Furnished,24903711
Hyderabad,House,5,1,1038,9,3,Fully Furnished,12890836
Delhi,Commercial,4,1,1526,10,0,Semi Furnished,28906461
Delhi,Villa,2,2,1557,13,0,Unfurnished,25530269
Vadodara,Villa,2,2,3143,22,1,Semi Furnished,20556423
Mumbai,Apartment,3,2,2748,4,2,Fully Furnished,35285392
Surat,House,5,2,1902,21,2,Fully Furnished,11454275
Ahmedabad,Apartment,1,3,2226,24,3,Fully Furnished,11048757
Hyderabad,Villa,3,4,2506,25,3,Semi Furnished,34429295
Surat,Apartment,2,4,3904,15,3,Unfurnished,17428517
Jaipur,House,3,3,3329,12,1,Semi Furnished,20715035
Delhi,Apartment,3,2,4321,3,2,Semi Furnished,44744961
Vadodara,Apartment,1,3,3646,19,3,Unfurnished,14611857
Pune,Villa,2,2,4581,16,3,Semi Furnished,63475128
Hyderabad,Apartment,1,4,4640,14,1,Unfurnished,38568037
Ahmedabad,Apartment,3,4,4355,9,0,Unfurnished,20674360
Vadodara,Villa,3,4,3497,1,3,Unfurnished,23694263
Delhi,House,3,3,1102,12,3,Fully Furnished,15317308
Jaipur,Apartment,2,1,3726,11,2,Fully Furnished,19493166
Vadodara,House,5,4,4596,1,0,Unfurnished,22977973
Pune,Commercial,5,4,1720,19,1,Semi Furnished,28075002
Vadodara,Commercial,5,3,3255,16,3,Fully Furnished,25640368
Mumbai,Commercial,1,3,3213,21,0,Semi Furnished,69848423
Ahmedabad,Commercial,3,2,920,18,3,Unfurnished,8651697
Jaipur,Commercial,2,2,758,18,0,Unfurnished,6518977
Hyderabad,Villa,4,2,3882,22,1,Semi Furnished,52358035
Jaipur,Commercial,1,2,4749,6,2,Fully Furnished,42732968
Delhi,Commercial,3,2,4265,17,2,Fully Furnished,78566496
Mumbai,Commercial,2,2,2785,17,2,Unfurnished,60743071
Mumbai,House,4,3,4430,11,2,Semi Furnished,65344794
Jaipur,Commercial,4,3,1699,9,0,Semi Furnished,15937228
Pune,Commercial,3,4,2252,6,2,Fully Furnished,36640415
Vadodara,Apartment,5,2,2486,1,1,Fully Furnished,12114546
Ahmedabad,Apartment,4,3,4369,3,1,Unfurnished,21312586
Vadodara,Commercial,4,4,2133,24,2,Semi Furnished,16472939
Ahmedabad,Apartment,5,2,4883,23,0,Unfurnished,22986684
Vadodara,Apartment,4,4,2026,23,2,Unfurnished,8736117
Mumbai,Apartment,3,3,4222,20,3,Unfurnished,51892705
Hyderabad,Villa,2,1,3208,5,3,Fully Furnished,43883721
Vadodara,Apartment,3,3,2082,5,3,Semi Furnished,10135110
Pune,Apartment,4,1,2013,4,3,Semi Furnished,18920596
Ahmedabad,Villa,4,2,4159,24,2,Semi Furnished,31261413
Jaipur,Apartment,3,3,2435,1,0,Semi Furnished,13134709
Vadodara,Commercial,5,3,1461,20,2,Semi Furnished,11937797
Rajkot,House,4,2,4227,23,2,Semi Furnished,19354314
Hyderabad,House,2,1,4804,14,2,Unfurnished,48112933
Surat,Apartment,5,2,4896,4,1,Semi Furnished,22708817
Hyderabad,Apartment,2,4,1244,16,3,Unfurnished,11326258
Vadodara,Commercial,4,1,4287,21,2,Fully Furnished,31592567
Bangalore,Villa,1,2,1098,1,3,Semi Furnished,17731457
Delhi,Apartment,1,4,759,9,3,Unfurnished,8307007
Bangalore,Villa,4,4,3592,12,0,Fully Furnished,56863897
Vadodara,Villa,1,2,4901,12,1,Fully Furnished,31715747
Ahmedabad,Apartment,3,4,4960,13,3,Unfurnished,23554535
Hyderabad,Villa,2,3,2044,23,0,Unfurnished,27181885
Jaipur,Apartment,2,2,1051,3,0,Semi Furnished,5820840
Rajkot,Apartment,4,4,2419,17,1,Unfurnished,9438442
Delhi,Villa,2,3,3126,7,2,Unfurnished,51187571
Rajkot,Commercial,3,3,999,17,1,Fully Furnished,8116652
Delhi,Commercial,1,3,3622,25,2,Fully Furnished,66457548
Bangalore,House,3,4,2006,24,3,Unfurnished,23804690
Mumbai,House,4,1,3880,13,1,Semi Furnished,57151655
Mumbai,House,3,1,4184,11,0,Fully Furnished,61624334
Ahmedabad,Villa,4,1,1096,6,1,Semi Furnished,9310236
Pune,Villa,1,2,2056,23,0,Fully Furnished,28938784
Rajkot,House,4,2,3134,24,2,Semi Furnished,14651699
Delhi,Villa,3,3,3446,16,3,Semi Furnished,56439398
Hyderabad,Villa,2,3,3063,13,0,Fully Furnished,41493582
Vadodara,Apartment,3,4,2918,4,1,Semi Furnished,12921392
Bangalore,House,4,3,2608,24,3,Fully Furnished,31995626
Hyderabad,House,3,2,1646,23,3,Unfurnished,17290111
Ahmedabad,Apartment,1,1,552,13,1,Fully Furnished,3501675
Surat,House,1,2,4642,14,2,Unfurnished,24002356
Hyderabad,Apartment,1,4,597,0,2,Fully Furnished,6746014
Ahmedabad,Commercial,2,1,1289,16,1,Unfurnished,10692155
Jaipur,Villa,3,3,3751,2,2,Semi Furnished,30688974
Jaipur,House,2,3,1160,20,0,Unfurnished,7106565
Bangalore,Commercial,5,4,959,20,0,Fully Furnished,18328608
Surat,Commercial,4,3,1281,16,0,Unfurnished,10506046
Jaipur,Commercial,3,1,1109,21,2,Fully Furnished,11397642
Ahmedabad,House,3,1,2197,18,1,Fully Furnished,13431443
Surat,Villa,2,2,3687,21,2,Semi Furnished,25498388
Surat,Villa,1,1,4080,7,0,Semi Furnished,28108573
Pune,Apartment,3,4,4519,7,2,Fully Furnished,40680163
Bangalore,House,5,4,1202,24,2,Unfurnished,14829877
Surat,Villa,2,4,1763,23,3,Semi Furnished,13100581
Surat,Apartment,1,3,4143,11,2,Unfurnished,17814543
Surat,House,4,4,4697,13,0,Unfurnished,24541852
Pune,Apartment,5,3,3655,0,2,Semi Furnished,33424137
Surat,House,5,2,3618,5,1,Semi Furnished,20125479
Mumbai,Commercial,2,1,1869,13,2,Semi Furnished,41359713
Hyderabad,Apartment,3,3,2520,23,3,Fully Furnished,22394047
Hyderabad,Apartment,2,3,555,12,2,Fully Furnished,6349343
Pune,Commercial,3,4,1615,9,2,Fully Furnished,26745108
Hyderabad,Villa,2,4,3114,9,3,Fully Furnished,42834880
Pune,Commercial,3,4,3490,3,1,Fully Furnished,55794133
Vadodara,Apartment,4,2,4091,25,2,Fully Furnished,17502418
Bangalore,Commercial,2,3,2482,8,1,Fully Furnished,44235881
Bangalore,Apartment,4,4,3783,17,3,Fully Furnished,38002051
Pune,Apartment,1,2,3408,5,0,Fully Furnished,30312029
Pune,Commercial,1,1,1307,8,1,Fully Furnished,21441098
Delhi,House,4,3,3704,14,1,Semi Furnished,45673755
Hyderabad,Apartment,3,4,1203,3,1,Semi Furnished,11516640
Pune,Commercial,2,4,3353,15,0,Semi Furnished,52400325
Pune,Apartment,3,1,1442,0,2,Fully Furnished,14121675
Vadodara,House,5,2,1811,10,3,Semi Furnished,10468598
Bangalore,House,2,4,3740,0,1,Semi Furnished,44236418
Bangalore,Apartment,2,2,2780,24,0,Fully Furnished,27216694
Delhi,House,3,3,2114,14,0,Semi Furnished,26681261
Delhi,Villa,5,4,3715,18,0,Semi Furnished,61109082
Hyderabad,House,3,1,1597,10,0,Unfurnished,16334694
Surat,House,3,2,4684,12,3,Fully Furnished,25451924
Jaipur,Commercial,4,2,4486,20,1,Fully Furnished,40384011
Hyderabad,Villa,2,2,3077,14,0,Semi Furnished,40830288
Hyderabad,House,2,4,4640,20,3,Semi Furnished,47123211
Bangalore,Commercial,4,2,1177,18,0,Unfurnished,20882978
Ahmedabad,Villa,2,3,1877,24,3,Fully Furnished,15283773
Delhi,Apartment,5,1,2694,24,2,Fully Furnished,28633631
Hyderabad,House,4,1,2527,9,0,Semi Furnished,26116261
Pune,Apartment,4,1,2441,6,2,Fully Furnished,23047465
Vadodara,House,2,2,986,18,2,Fully Furnished,6059219
Jaipur,House,3,3,2870,18,2,Fully Furnished,18131050
Vadodara,Commercial,1,3,1539,22,1,Unfurnished,10807127
Pune,House,4,4,1664,18,2,Fully Furnished,19257146
Bangalore,Commercial,1,1,3800,16,2,Fully Furnished,66216999
Hyderabad,Commercial,3,1,1263,23,3,Fully Furnished,20342503
Surat,Commercial,2,4,2235,15,2,Semi Furnished,18118968
Pune,House,5,4,3315,21,0,Unfurnished,34742411
Hyderabad,Apartment,1,2,4115,14,0,Semi Furnished,34155146
Vadodara,Villa,2,3,1264,20,2,Semi Furnished,8673784
Pune,House,1,4,3002,23,1,Semi Furnished,31041029
Surat,Apartment,2,4,1138,4,1,Fully Furnished,6796286
Ahmedabad,Apartment,3,1,3959,22,1,Semi Furnished,18439768
Rajkot,Commercial,1,1,1345,10,2,Semi Furnished,9117290
Bangalore,House,2,1,4845,18,0,Fully Furnished,56155088
Hyderabad,Villa,2,2,3872,19,3,Unfurnished,51266538
Surat,House,1,4,3379,13,2,Unfurnished,17614982
Mumbai,Apartment,2,3,719,21,2,Unfurnished,9445899
Jaipur,House,4,3,947,25,1,Semi Furnished,6784350
Surat,House,4,1,4827,0,2,Semi Furnished,25966474
Bangalore,Commercial,3,2,4358,24,0,Unfurnished,74642613
Ahmedabad,Villa,2,1,995,25,3,Fully Furnished,8489404
Delhi,Commercial,4,4,1175,20,1,Semi Furnished,22387657
Mumbai,Apartment,5,2,1772,17,2,Semi Furnished,22758326
Mumbai,Commercial,2,1,2502,2,3,Unfurnished,55218594
Jaipur,Apartment,3,2,1478,0,1,Fully Furnished,8806301
Vadodara,Commercial,3,3,1867,11,1,Fully Furnished,14913159
Surat,Apartment,3,4,2728,16,0,Semi Furnished,12388413
Hyderabad,Commercial,5,3,954,15,1,Semi Furnished,15670991
Mumbai,Apartment,5,1,2371,23,0,Unfurnished,28939884
Rajkot,Apartment,4,3,3637,4,1,Unfurnished,14359220
Bangalore,House,3,2,3909,23,2,Semi Furnished,45419270
Jaipur,Villa,1,1,1969,7,0,Semi Furnished,15469194
Hyderabad,Villa,3,3,1207,17,3,Unfurnished,16997679
Rajkot,Villa,5,3,2487,14,2,Fully Furnished,16544526
Rajkot,House,2,1,3859,0,1,Fully Furnished,17921051
Ahmedabad,Villa,1,4,3019,3,1,Fully Furnished,23311536
Bangalore,Commercial,1,2,2792,2,0,Unfurnished,48388207
Bangalore,Villa,4,1,1282,16,1,Fully Furnished,21349907
Surat,Apartment,4,2,2439,9,2,Semi Furnished,12030840
Pune,Villa,4,3,2413,2,1,Unfurnished,34031066
Vadodara,Apartment,2,4,4317,10,3,Unfurnished,18198257
Pune,House,4,3,4295,8,0,Unfurnished,44774271
Mumbai,Apartment,2,3,1715,2,1,Semi Furnished,21995492
Delhi,Apartment,3,3,1924,0,3,Semi Furnished,21422959
Delhi,House,1,4,1334,25,1,Unfurnished,15895537
Ahmedabad,House,2,2,3781,11,0,Fully Furnished,21713793
Surat,Apartment,1,2,4132,25,1,Unfurnished,17377055
Surat,Apartment,4,1,1876,18,3,Fully Furnished,9993386
Hyderabad,Apartment,4,4,1915,11,1,Unfurnished,16966339
Mumbai,Commercial,2,1,2513,20,2,Semi Furnished,55212805
Delhi,Commercial,1,1,2791,12,1,Semi Furnished,50747146
Delhi,House,5,1,3633,25,2,Semi Furnished,45291968
Hyderabad,Villa,5,3,3681,8,1,Unfurnished,49829087
Jaipur,House,1,3,979,25,3,Fully Furnished,6988835
Jaipur,House,2,1,2530,21,1,Semi Furnished,15457414
Ahmedabad,House,5,4,3406,5,1,Unfurnished,20100851
Pune,Apartment,3,2,2042,25,3,Fully Furnished,19056065
Vadodara,Commercial,1,1,960,7,1,Unfurnished,7316221
Hyderabad,Apartment,3,2,1568,10,1,Semi Furnished,13870048
Ahmedabad,House,5,2,1408,16,2,Unfurnished,9044938
Bangalore,Apartment,3,3,3142,4,1,Fully Furnished,32007089
Hyderabad,Villa,2,3,2328,21,1,Semi Furnished,31390087
Mumbai,House,2,1,3707,24,0,Unfurnished,53414474
Jaipur,House,5,1,4564,4,2,Fully Furnished,28520226
Rajkot,Villa,3,2,1226,22,2,Semi Furnished,7677549
Mumbai,House,2,1,3371,8,0,Fully Furnished,49543743
Ahmedabad,Commercial,4,4,1862,13,3,Semi Furnished,17075492
Delhi,Commercial,1,4,2347,5,3,Unfurnished,42956035
Mumbai,Apartment,3,3,1357,2,2,Unfurnished,17677696
Vadodara,Apartment,5,1,3268,19,3,Fully Furnished,14702698
Bangalore,House,5,4,1786,1,0,Semi Furnished,22300935
Rajkot,Commercial,5,3,2806,9,1,Unfurnished,18904846
Bangalore,Commercial,2,1,3455,0,3,Unfurnished,60139357
Jaipur,Commercial,2,1,710,6,1,Fully Furnished,7640386
Surat,Commercial,1,3,3756,15,3,Fully Furnished,29898237
Surat,Commercial,2,3,3624,11,1,Semi Furnished,28219224
Mumbai,Commercial,4,3,2353,8,0,Unfurnished,51726200
Surat,Villa,5,4,2363,17,0,Semi Furnished,17752327
Bangalore,Commercial,5,2,4401,9,0,Semi Furnished,76618515
Delhi,House,1,4,1916,5,1,Unfurnished,23499315
Ahmedabad,Commercial,1,4,2154,20,1,Fully Furnished,18617813
Pune,Apartment,1,4,3755,17,2,Semi Furnished,33087432
Hyderabad,Apartment,5,4,1421,13,1,Unfurnished,13421316
Jaipur,Apartment,1,1,2843,17,2,Semi Furnished,14248367
Bangalore,Commercial,5,4,806,5,2,Semi Furnished,15858440
Jaipur,Commercial,1,4,3215,22,1,Unfurnished,28225902
Mumbai,Villa,1,3,2982,9,2,Semi Furnished,58082388
Rajkot,House,3,4,3128,8,3,Fully Furnished,15231224
Rajkot,Commercial,2,4,4468,24,2,Unfurnished,28988699
Vadodara,Apartment,3,4,1611,24,0,Unfurnished,6735027
Rajkot,Apartment,2,1,4239,1,2,Fully Furnished,16520281
Mumbai,Villa,4,4,1514,21,0,Unfurnished,30034359
Hyderabad,Commercial,2,4,3365,11,1,Semi Furnished,50637182
Mumbai,Apartment,4,1,1834,18,1,Unfurnished,22744047
Rajkot,Villa,4,1,572,15,1,Fully Furnished,4859814
Jaipur,Apartment,2,3,3002,22,2,Semi Furnished,15454363
Pune,Commercial,3,2,4323,9,3,Fully Furnished,68024182
Ahmedabad,Villa,5,3,2945,21,0,Semi Furnished,22395938
Pune,Villa,3,3,2639,20,2,Unfurnished,36597612
Delhi,House,1,4,3118,21,1,Fully Furnished,38317691
Hyderabad,Villa,3,4,3814,12,0,Fully Furnished,52089509
Rajkot,Villa,2,4,3436,16,2,Unfurnished,20326965
Vadodara,Villa,1,4,1548,23,2,Fully Furnished,11220707
Vadodara,Villa,1,2,3410,7,2,Semi Furnished,22300811
Pune,Villa,5,3,4299,3,3,Unfurnished,60166075
Hyderabad,House,5,1,3626,16,2,Semi Furnished,37086528
